City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,darnah,32.767,22.6367,13.8,56,39,10.91,LY,1675131727
302,bhag,29.0415,67.8239,13.28,25,0,2.12,PK,1675131728
303,tiksi,71.6872,128.8694,-28.2,98,100,3.78,RU,1675131728
304,kishi,9.0833,3.85,25.35,14,60,1.86,NG,1675131729
305,lapeer,43.0514,-83.3188,-10.03,67,100,5.66,US,1675131463
306,abu samrah,35.3029,37.1841,6.58,89,100,3.88,SY,1675131730
307,narsaq,60.9167,-46.05,-8.88,88,100,2.39,GL,1675131731
308,lata,40.1629,-8.3327,0.6,76,0,1.71,PT,1675131731
309,tulun,54.5611,100.5792,-21.72,99,61,1.44,RU,1675131732
310,lucapa,-8.4192,20.7447,18.36,96,100,0.87,AO,1675131733
311,mana,5.6592,-53.7767,23.69,88,1,2.28,GF,1675131464
312,hamilton,39.1834,-84.5333,-0.59,88,100,5.14,US,1675131505
313,cururupu,-1.8283,-44.8683,23.07,97,100,1.01,BR,1675131734
314,rognan,67.0953,15.3878,-0.92,94,88,2.12,NO,1675131735
315,ocos,14.5094,-92.1933,25.1,69,0,3.31,GT,1675131736
316,conde,-7.2597,-34.9075,26.7,74,20,3.6,BR,1675131736
317,launceston,-41.45,147.1667,24.23,51,0,4.63,AU,1675131515
318,padilla,3.2204,-76.3139,23.76,90,100,1.03,CO,1675131737
319,zhezkazgan,47.8043,67.7144,-16.01,78,20,3.0,KZ,1675131738
320,andijon,40.7821,72.3442,-0.4,89,60,1.85,UZ,1675131739
321,manta,-0.95,-80.7333,26.88,78,0,2.57,EC,1675131739
322,ust-maya,60.4167,134.5333,-41.68,96,99,0.35,RU,1675131740
323,haines junction,60.7522,-137.5108,-6.9,98,100,0.2,CA,1675131561
324,bumba,2.1833,22.4667,21.71,80,60,0.99,CD,1675131741
325,semibratovo,57.3046,39.5369,-1.08,91,100,7.33,RU,1675131742
326,yenagoa,4.9247,6.2642,25.76,88,100,0.97,NG,1675131742
327,kichmengskiy gorodok,59.9816,45.7854,-3.82,91,100,5.79,RU,1675131743
328,yudong,29.385,106.5194,11.33,54,0,0.38,CN,1675131744
329,broken hill,-31.95,141.4333,26.32,29,0,5.89,AU,1675131744
330,souillac,-20.5167,57.5167,23.21,88,40,1.54,MU,1675131745
331,mahebourg,-20.4081,57.7,25.14,88,40,1.54,MU,1675131745
332,bonthe,7.5264,-12.505,24.8,86,59,1.5,SL,1675131164
333,misratah,32.3754,15.0925,11.73,77,20,5.73,LY,1675131746
334,luzhou,28.8724,105.4405,12.57,54,0,0.65,CN,1675131747
335,taunggyi,20.7833,97.0333,17.39,60,42,0.29,MM,1675131747
336,hirara,24.8,125.2833,18.92,59,20,4.63,JP,1675131620
337,sur,22.5667,59.5289,18.25,65,0,0.7,OM,1675131546
338,hofn,64.2539,-15.2082,0.85,97,100,6.27,IS,1675131749
339,victor harbor,-35.5667,138.6167,25.93,62,0,3.84,AU,1675131750
340,aykhal,66.0,111.5,-36.89,100,99,2.37,RU,1675131713
341,antofagasta,-23.65,-70.4,19.6,81,99,1.43,CL,1675131531
342,broome,42.2506,-75.833,-0.86,83,100,2.57,US,1675131751
343,boddam,57.4667,-1.7833,8.02,79,100,7.12,GB,1675131752
344,jizan,17.3333,42.6667,24.52,83,29,2.82,SA,1675131752
345,nakamura,32.9833,132.9333,8.96,43,1,1.5,JP,1675131753
346,manjacaze,-24.7117,33.8828,22.04,90,63,1.72,MZ,1675131753
347,abu dhabi,24.4667,54.3667,16.09,90,0,1.34,AE,1675131569
348,portland,45.5234,-122.6762,2.67,44,20,2.57,US,1675131151
349,matiri,-10.75,34.9,15.75,92,8,1.14,TZ,1675131755
350,suluova,40.8313,35.6479,1.92,93,75,2.06,TR,1675131755
351,college,64.8569,-147.8028,-3.85,90,75,1.54,US,1675131756
352,ouro preto do oeste,-10.7481,-62.2158,21.91,96,88,1.65,BR,1675131757
353,tobane,-21.95,27.9,19.03,84,98,3.99,BW,1675131757
354,srednekolymsk,67.45,153.6833,-19.95,98,100,6.62,RU,1675131484
355,mosquera,4.7059,-74.2302,12.05,76,75,1.03,CO,1675131372
356,puerto del rosario,28.5004,-13.8627,16.86,63,40,7.2,ES,1675131532
357,alim,9.5649,122.4876,28.71,69,82,7.25,PH,1675131759
358,sanger,36.708,-119.556,8.92,70,0,2.57,US,1675131571
359,coos bay,43.3665,-124.2179,5.55,65,0,2.57,US,1675131760
360,muravlenko,63.7898,74.523,-19.52,98,95,4.51,RU,1675131760
361,belmonte,-15.8631,-38.8828,24.42,80,3,2.11,BR,1675131761
